Identificação Kauan,Doenças,Análise,Descrição
img_159,56,"Descrição incorreta. Manejo inadequado. Disse ser Fusarium, sendo virus. Diz ter lesao em folha, mas exibe o pseudocaule.","Cacho de bananeira do subgrupo Prata em fase inicial de desenvolvimento, exibindo uma sintomatologia clássica e severa da Virose Mosaico da Bananeira (CMV), caracterizada por um profundo comprometimento morfológico dos frutos e da estrutura geral do cacho, onde se observa um acentuado afilamento, com as bananas apresentando diâmetro reduzido e forma excessivamente delgada, e uma evidente má formação, manifestada por meio de curvaturas irregulares e anômalas, torções e constrições ao longo do corpo dos frutos, além de um desenvolvimento desuniforme entre as pencas, que se mostram desorganizadas, com falhas e número reduzido de ""dedos"", tudo isso associado a um pedúnculo de curvatura rígida e acentuada (engaxamento), evidenciando o impacto sistêmico do vírus que impede o enchimento e o desenvolvimento fisiológico normal, resultando em uma perda total da qualidade e do potencial comercial do cacho."
img_160,57,Descrição incorreta. Doença e manejos incorretos.,"Folha de bananeira exibindo sintomas característicos da infecção pelo Banana Streak Virus (BSV), manifestados como estrias cloróticas (amareladas) ou necróticas (marrons a pretas) descontínuas e de largura variável, que se desenvolvem paralelamente às nervuras da folha, podendo coalescer e levar a uma aparência de mosaico ou necrose mais extensa, indicando a presença do vírus que afeta o desenvolvimento e a produtividade da planta."
img_161,58,Descrição incorreta. Trata-se de vetor de virose e não de doença. Basnana não tem mildio.,"Densa colônia da cochonilha-farinhenta Planococcus citri, vetor de importância fitossanitária do Banana Streak Virus (BSV), causador das Estrias da Bananeira, em um sistema de criação laboratorial que utiliza como substrato a superfície escura e texturizada de uma abóbora Tetsakabuto; a cena detalha múltiplos estágios de desenvolvimento do inseto, desde ninfas a adultos, caracterizados pelo corpo oval e rosado, densamente recoberto por uma secreção pulverulenta e cerosa de cor branca, e por proeminentes filamentos cerosos brancos que irradiam das margens do corpo, conferindo-lhes um aspecto franjado, enquanto o ambiente ao redor da colônia está impregnado de detritos cerosos e exúvias, denotando a alta taxa de infestação e multiplicação do vetor."
img_162,59,"Descrição incorreta. Doença e manejos incorretos. Fala de raíz, mas a foto é de fruto.","Penca de bananeira imatura apresentando sintomas severos e característicos de infecção por Banana Streak Virus (BSV), com a casca verde-clara demonstrando externamente múltiplas lesões necróticas de formato alongado e irregular, que variam de estrias finas a manchas maiores de coloração marrom-escura a preta, enquanto internamente, como revelado nos frutos seccionados, a polpa exibe extensas áreas de escurecimento, necrose do anel vascular e manchas marrons difusas que se estendem pelo parênquima, evidenciando o comprometimento sistêmico da qualidade e confirmando os sintomas da virose."
img_163,60,Descrição incorreta. Doença e manejos incorretos.,"Porção de folha de bananeira do subgrupo Prata, apresentando sintomas da infecção pelo Vírus do Estriamento da Bananeira (BSV), caracterizados por um padrão de clorose em estrias que se manifesta como faixas alongadas e irregulares de coloração verde-claro a amarelo-esverdeado, contrastando com o tecido foliar sadio, o que confere à lâmina um aspecto de mosaico ou mosqueado interveinal distintamente orientado de forma paralela às nervuras secundárias, evidenciando uma infecção sistêmica que compromete a capacidade fotossintética da planta sem apresentar, neste estágio, lesões necróticas."
img_164,61,Descrição incorreta. Doença e manejos incorretos.,"Corte transversal do engáço (pedúnculo) de um cacho de banana, demonstrando sintomas severos de infecção pelo Banana Streak Virus (BSV), evidenciados por uma necrose interna generalizada do parênquima, que se manifesta como extensas áreas de coloração marrom-escura a avermelhada em forma de pontos e estrias coalescentes, indicativas de acentuada descoloração vascular, além de uma fissura central com bordas necrosadas que compromete a integridade estrutural e a funcionalidade do órgão para a sustentação e nutrição do cacho."
img_165,62,Descrição incorreta. Doença e manejos incorretos.,"Fruto de banana do Subgrupo Prata em maturação avançada, apresentando um sintoma patognomônico de antracnose (Colletotrichum musae), caracterizado por uma lesão necrótica solitária, deprimida e subcircular com margens bem definidas, de coloração marrom-escura a preta, localizada na porção mediana da casca, onde se observam no interior da lesão pontuações escuras que indicam a presença de acérvulos, denotando um estágio avançado da infecção fúngica."
img_166,63,Descrição incorreta. Doença e manejos incorretos.Doença inexistentes.,"Fruto de banana do Subgrupo Prata em avançado estado de maturação, apresentando um quadro severo e generalizado de antracnose (Colletotrichum musae), manifestado por extensas lesões necróticas de coloração marrom-escura a preta que se encontram coalescidas, deprimidas e distribuídas por quase toda a superfície da casca, com maior intensidade na região do pedúnculo, indicando um colapso tecidual avançado que torna o fruto impróprio para o consumo."
img_168,64,Descrição incorreta. Doença e manejos incorretos. Coloca Fusarium de forma incorreta.,"Penca de bananas do subgrupo Cavendish apresentando sintomas avançados de podridão da coroa, onde o pedúnculo (coroa) exibe uma extensa área escurecida, de coloração marrom-escura a preta, com aspecto necrótico e possivelmente amolecido, indicando a decomposição dos tecidos; observa-se a presença de uma massa cotonosa e esbranquiçada, característica do crescimento de micélio fúngico, cobrindo parte significativa da coroa e estendendo-se para a base dos dedos (bananas); os frutos próximos à coroa também podem apresentar escurecimento e início de deterioração na região de inserção, e a coloração geral das bananas é predominantemente amarela com algumas áreas esverdeadas, sugerindo que a maturação estava em progresso quando a doença se manifestou severamente, comprometendo a qualidade e a integridade da penca."
img_169,65,Descrição incorreta. Doença e manejos incorretos.Doença inexistentes.,"Penca de bananas do subgrupo Cavendish apresentando sintomas avançados de podridão da coroa, onde o pedúnculo (coroa) exibe uma extensa área escurecida, de coloração marrom-escura a preta, com aspecto necrótico e possivelmente amolecido, indicando a decomposição dos tecidos; observa-se a presença de uma massa cotonosa e esbranquiçada, característica do crescimento de micélio fúngico, cobrindo parte significativa da coroa e estendendo-se para a base dos dedos (bananas); os frutos próximos à coroa também podem apresentar escurecimento e início de deterioração na região de inserção, e a coloração geral das bananas é predominantemente amarela com algumas áreas esverdeadas, sugerindo que a maturação estava em progresso quando a doença se manifestou severamente, comprometendo a qualidade e a integridade da penca."
img_170,66,Imagem de procedimento para diagnose e não de folha com doença,"Execução e o resultado positivo do ""Teste do Copo"" para o diagnóstico de campo do Moko da bananeira, onde a imersão de um segmento de tecido vegetal infectado em água revela uma profusa exsudação bacteriana a partir da face cortada, manifestada como um fluxo leitoso - pus bacteriano, difuso e filamentoso que desce no recipiente, confirmando visual e inequivocamente a presença da bactéria Ralstonia solanacearum nos feixes vasculares da planta."
img_171,67,Descrição incorreta. Doença e manejos incorretos.Doença inexistentes.,"Secção transversal de um pseudocaule de bananeira, expondo a extrusão de um exsudato bacteriano viscoso e de coloração branco-amarelada diretamente dos feixes vasculares severamente necrosados e escurecidos, sendo este o sinal da infecção sistêmica avançada pelo Moko (Ralstonia solanacearum), que evidencia a obstrução e colapso do sistema de transporte de água e nutrientes da planta."
img_183,68,Descrição incorreta. Trata-se de manejo e não doença.,"Prática de adubação de cobertura localizada na cultura da banana, detalhando a aplicação superficial de um fertilizante granulado (seja orgânico ou inorgânico) em uma distinta formação de 'meia-lua' sobre o solo, estrategicamente disposta na projeção do sistema radicular de uma planta-filha (rebento) vigorosa e adjacente à planta-mãe, visando maximizar a eficiência de absorção de nutrientes e direcionar o suporte nutricional para o desenvolvimento do novo ciclo produtivo."
,Escala ,,
img_65,1,Boa descrição do esquema.,"Esquema de plantio para a cultura da banana, representando uma parcela agrícola retangular de 20 metros de comprimento por 10 metros de largura (totalizando 200 metros quadrados), onde as bananeiras, simbolizadas por formas verdes estilizadas semelhantes a estrelas representando suas copas foliares e acentuadas com sombras cinzas para clareza visual e percepção de profundidade, estão dispostas em 35 fileiras com espaçamento regular tanto entre fileiras quanto dentro delas, formando um padrão de grade que sugere um arranjo otimizado para crescimento, aeração e exposição solar adequados; as dimensões do terreno (20 m e 10 m) são claramente indicadas em texto vermelho, a parcela é delimitada por uma linha preta tracejada, e uma legenda na parte inferior da ilustração demonstra o cálculo que resulta em uma densidade de 1.750 plantas por hectare, configurando-se como uma ferramenta visual precisa para o planejamento espacial e o manejo sistemático eficiente da plantação, visando otimizar a disposição das plantas e, consequentemente, o potencial produtivo."
img_68,2,Boa descrição do esquema. Possui limitações.,"ESQUEMA DO MÉTODO DO CÍRCULO ALEATÓRIO PARA ESTIMATIVA DA DENSIDADE DE PLANTAS DO BANANAL'; Representação do Bananal: A área cinza simboliza a plantação, com as figuras verdes representando as plantas de banana; Parcela de Amostragem Circular: O círculo com linha tracejada representa a parcela amostral lançada aleatoriamente no campo; Ponto Central e Raio: O marcador cinza é a estaca de referência, de onde parte uma seta vermelha indicando o raio de 8 metros; Cálculo da Área Amostral: A área da parcela circular é de aproximadamente 201,06 m²; Contagem de Plantas: O método consiste em contar as plantas dentro do círculo; Extrapolação da Densidade: A contagem é extrapolada para 1 hectare para estimar a densidade total; Informação Contextual: A anotação '25 x 50 = 1.250 unidades de produção /ha' indica uma densidade de referência; Síntese da Metodologia: "
img_112,3,"Iniciou fazendo bem a descrição, mas alucinou.","Câmara climatizadora para o amadurecimento controlado de bananas, um processo que envolve múltiplos sistemas integrados: a climatização inicia com o (1) cilindro de etileno, que fornece o gás indutor do amadurecimento através da (2) tubulação de etileno até as (5) saídas internas; o controle da temperatura, crucial para regular a taxa de respiração do fruto, é realizado pelo (3) sistema de refrigeração na parte superior; a umidade relativa é mantida em níveis ideais (90-95%) por um sistema composto por um (6) tanque de água, uma (7) bomba de água, a (9) tubulação de água e os (8) nebulizadores, que previnem a desidratação das bananas; para garantir a uniformidade das condições ambientais, (4) circuladores de ar potentes homogeneízam a distribuição de temperatura, umidade e etileno; a estrutura da câmara é composta por (10) paredes isoladas e uma (12) porta frigorífica hermética para máxima eficiência energética e estabilidade térmica; um (11) exaustor permite a renovação do ar, removendo o dióxido de carbono e o excesso de etileno; e todo o sistema é gerenciado pelo (13) quadro de comando, o cérebro eletrônico que permite ao operador monitorar e programar todos os parâmetros para um amadurecimento preciso e uniforme."
img_114,4,"Boa descrição da escala, mas incompleta","Escala visual de maturação da banana, numerada de 1 a 7, detalha a progressão da cor da casca, desde o verde intenso (estágio 1, ideal para colheita e transporte de longas distâncias), passando pelo verde-amarelado (estágio 2, início do amadurecimento), mais amarelo que verde (estágio 3, amadurecendo), totalmente amarelo (estágio 4, ideal para consumo imediato ou comercialização local), amarelo com pontas verdes (estágio 5, ainda firme, bom para consumo), amarelo com pequenas manchas marrons (estágio 6, pico de doçura e maciez, ótimo para consumo), até o amarelo com muitas manchas marrons (estágio 7, muito madura, ideal para preparos culinários ou consumo rápido), servindo como guia crucial para colheita, logística, comercialização e escolha do consumidor, indicando mudanças na textura, sabor e teor de açúcar da fruta."
img_173,5,"Boa descrição da escala, mas incompleta","Procedimento técnico de amostragem foliar em bananeiras para fins de análise agrícola, é dividida em dois painéis: o Painel A ilustra a execução prática da coleta em um bananal, mostrando um técnico de campo que utiliza uma ferramenta de haste longa para selecionar e cortar uma secção específica de uma folha de bananeira adulta, sendo o processo demonstrado em três etapas sequenciais – identificação da folha, posicionamento para o corte e a remoção da amostra da lâmina foliar, com a área de interesse destacada por linhas pontilhadas vermelhas e círculos, indicando um corte preciso na porção central; o Painel B apresenta um diagrama esquemático detalhado de uma folha de bananeira, especificamente a terceira folha, que é o padrão para amostragem, e delimita com precisão a região a ser coletada ('Amostra'), consistindo em uma secção retangular da lâmina foliar situada a 10 cm de distância da nervura central (midrib) em ambas as metades, na parte mediana da folha, conforme indicado por subdivisões ('C/2') e marcações numéricas ('4' e '7'), o que ressalta a importância da padronização metodológica para garantir a uniformidade, representatividade e comparabilidade dos resultados em investigações agronômicas, como avaliações do estado nutricional, diagnóstico fitossanitário ou estudos fisiológicos na cultura da bananeira."
,Processos,,
img_1,1,"Descrição técnica superficial, mas correta.","Ensacamento na cultura da banana, onde um cacho em pleno desenvolvimento, sustentado pelo seu robusto pseudocaule, é meticulosamente envolto por um saco de polietileno translúcido de cor azul-claro, a qual apresenta perfurações sistemáticas para permitir a ventilação e o controle microclimático; este saco, firmemente amarrado na inserção do pedúnculo, tem o objetivo técnico primordial de acelerar e uniformizar a maturação e a coloração dos frutos, além de oferecer proteção física contra abrasões, danos por intempéries, e defesa fitossanitária contra o ataque de pragas e a incidência de doenças, representando um manejo essencial na bananicultura moderna para maximizar a qualidade comercial e a produtividade por área."
img_14,2,Descrição incorreta e equivocada.,"Expedição na pós-colheita da banana, exibindo o interior de uma casa de embalagem em escala industrial, onde um volume massivo de bananas verdes, na fase pré-climatérica, é meticulosamente acondicionado e organizado em caixas plásticas perfuradas e padronizadas, dispostas em densas fileiras e colunas que preenchem o ambiente, demonstrando uma logística precisa para o transporte a longas distâncias e o subsequente amadurecimento controlado, com a presença de operários ao fundo que dinamizam este processo fundamental para a cadeia de suprimentos global da fruta."
img_15,3,"Descrição de acordo, apesar de ter muito texto com pouco conteúdo","Corredor industrial projetado para a etapa de pós-colheita da banana, caracterizado por um piso de concreto e teto alto com estrutura metálica, onde estão alinhadas câmaras de climatização modulares brancas, construídas com painéis isotérmicos que asseguram total isolamento térmico e hermeticidade; cada câmara possui portas deslizantes robustas e um painel de controle externo que permite a gestão rigorosa de variáveis críticas como temperatura, umidade e a injeção controlada de etileno, um fito-hormônio essencial para induzir e uniformizar o processo climatérico de amadurecimento, em um ambiente que também observa normas de segurança, como indicado pelo sinal de ""proibido fumar"", fundamental em operações com atmosferas controladas."
img_43,4,"Descrição de acordo, apesar de ter muito texto com pouco conteúdo. Algumas informações incorretas.","Prática da ""Desfolha da bananeira"", um manejo cultural essencial no cultivo, centrando-se no pseudostemo de uma bananeira – formado por bainhas foliares sobrepostas com textura lisa e algumas descolorações naturais ou cicatrizes – onde uma ferramenta de poda especializada, um gancho com lâmina metálica curva e afiada exibindo sinais de ferrugem e desgaste pelo uso contínuo, está posicionada como se em plena atividade ou momentaneamente apoiada após o corte de uma folha; adjacente, uma base de folha de bananeira recentemente cortada, com bordas secas e escurecidas, evidencia a remoção, característica da desfolha que visa eliminar folhas velhas, doentes ou danificadas para melhorar a aeração, a penetração da luz e a sanidade do bananal; ao fundo, a folhagem densa e verde vibrante de outras bananeiras, iluminada pela luz solar que também destaca as texturas do pseudostemo e da ferramenta, compõe o cenário típico de uma plantação onde a desfolha é realizada para otimizar o desenvolvimento dos cachos e a saúde geral das plantas, com a imagem capturando um momento que simboliza a intervenção humana direta no ciclo produtivo da bananeira através desta técnica agrícola fundamental."
img_44,5,Descrição incorreta e equivocada.,"Prática da ""Desfolha da bananeira"", um manejo cultural essencial no cultivo, centrando-se no pseudostemo de uma bananeira – formado por bainhas foliares sobrepostas com textura lisa e algumas descolorações naturais ou cicatrizes – onde uma ferramenta de poda especializada, um gancho com lâmina metálica curva e afiada exibindo sinais de ferrugem e desgaste pelo uso contínuo, está posicionada como se em plena atividade ou momentaneamente apoiada após o corte de uma folha; adjacente, uma base de folha de bananeira recentemente cortada, com bordas secas e escurecidas, evidencia a remoção, característica da desfolha que visa eliminar folhas velhas, doentes ou danificadas para melhorar a aeração, a penetração da luz e a sanidade do bananal; ao fundo, a folhagem densa e verde vibrante de outras bananeiras, iluminada pela luz solar que também destaca as texturas do pseudostemo e da ferramenta, compõe o cenário típico de uma plantação onde a desfolha é realizada para otimizar o desenvolvimento dos cachos e a saúde geral das plantas, com a imagem capturando um momento que simboliza a intervenção humana direta no ciclo produtivo da bananeira através desta técnica agrícola fundamental."
img_45,6,Descrição incorreta e equivocada. Não descreve o conteúdo da foto.,"Prática da ""Poda do Coração"" na cultura da banana, especificamente a etapa de ""quebra do coração"", onde as mãos de um agricultor, seguram firmemente o ""coração"" ou flor masculina da bananeira – uma estrutura cônica, alongada, de cor roxo-avermelhada intensa – posicionada logo abaixo de um cacho de bananas verdes e imaturas em desenvolvimento, com a ação de agarrar e possivelmente torcer ou puxar o coração indicando o momento da sua remoção manual do engaço, uma técnica agrícola crucial realizada após a formação das últimas pencas de frutos desejadas, visando direcionar a seiva e os nutrientes da planta exclusivamente para o enchimento e maturação das bananas, otimizando assim o tamanho e a qualidade do cacho."
img_46,7,Descrição incorreta e equivocada. Não descreve o conteúdo da foto.,"Prática da ""Poda do Coração"" na cultura da banana, especificamente a etapa de ""quebra do coração"", onde as mãos de um agricultor, seguram firmemente o ""coração"" ou flor masculina da bananeira – uma estrutura cônica, alongada, de cor roxo-avermelhada intensa – posicionada logo abaixo de um cacho de bananas verdes e imaturas em desenvolvimento, com a ação de agarrar e possivelmente torcer ou puxar o coração indicando o momento da sua remoção manual do engaço, uma técnica agrícola crucial realizada após a formação das últimas pencas de frutos desejadas, visando direcionar a seiva e os nutrientes da planta exclusivamente para o enchimento e maturação das bananas, otimizando assim o tamanho e a qualidade do cacho."
img_47,8,Descrição incorreta e equivocada. Não descreve o conteúdo da foto.,"Prática da ""Poda do Coração"" na cultura da banana, especificamente a etapa de ""quebra do coração"", onde as mãos de um agricultor, seguram firmemente o ""coração"" ou flor masculina da bananeira – uma estrutura cônica, alongada, de cor roxo-avermelhada intensa – posicionada logo abaixo de um cacho de bananas verdes e imaturas em desenvolvimento, com a ação de agarrar e possivelmente torcer ou puxar o coração indicando o momento da sua remoção manual do engaço, uma técnica agrícola crucial realizada após a formação das últimas pencas de frutos desejadas, visando direcionar a seiva e os nutrientes da planta exclusivamente para o enchimento e maturação das bananas, otimizando assim o tamanho e a qualidade do cacho."
img_48,9,Descrição incorreta e equivocada. Não descreve o conteúdo da foto. Muito texto tratando de outra questão. ,"Bananeira em fase de frutificação, exibindo seu pseudocaule robusto e grandes folhas verdes luxuriantes, com um cacho de bananas imaturas e verdes pendurado à direita; centralmente, uma corda de coloração clara, presumivelmente sintética, é fixada e circundada por um traçado vermelho, na porção superior do pseudocaule, onde as folhas se inserem, estendendo-se diagonalmente para fora do quadro inferior esquerdo, demonstrando a aplicação da técnica de escoramento essencial para sustentar a planta contra o peso do cacho e intempéries, prevenindo o tombamento e assegurando o desenvolvimento íntegro dos frutos em culturas de banana."
img_49,10,Descrição incorreta e equivocada. Não descreve o conteúdo da foto. Muito texto tratando de outra questão. ,"Método de escoramento interno do pseudocaule, onde uma única vara de bambu é inserida estrategicamente de forma oblíqua e ascendente diretamente na estrutura fibrosa do pseudocaule, como destacado por um círculo vermelho, posicionada abaixo do pedúnculo para atuar como um reforço estrutural interno, suportando o peso de um volumoso cacho de bananas verdes e prevenindo o tombamento (""acamamento"") da planta, garantindo assim a integridade e o pleno desenvolvimento dos frutos até a colheita."
img_51,11,"Correta, nas com nomenclaturas não utilizadas.","Prática agrícola do escoramento externo na cultura da bananeira, onde um robusto pseudocaule é sustentado por um sistema de apoio formado por duas hastes de bambu dispostas em um arranjo triangular ou em ""V"" para distribuir o peso; a haste inferior está firmemente amarrada contra o pseudocaule com corda clara em espiral, enquanto a haste superior converge para a primeira, unindo-se por um nó, formando uma estrutura robusta que previne o tombamento da planta sob o peso de um futuro cacho, demonstrando uma técnica de manejo eficiente para garantir a integridade da planta e a segurança da produção."
img_55,12,"Descrição técnica superficial, mas correta.","Fixação de um saco protetor de polietileno azulado, translúcido e perfurado ao engaço (pedúnculo) de um cacho de bananas, onde as mãos de um trabalhador realizam uma amarração firme com um fio escuro para criar um microclima que protege os frutos contra pragas, danos físicos e intempéries, além de promover um amadurecimento uniforme e acelerado, garantindo a qualidade superior do produto final."
img_56,13,Descrição superficial e não trata do enfoque no processo.,"Intervenção cultural precoce na bananicultura, focando no ensacamento de um cacho ainda em estágio imaturo e de coloração arroxeada, onde um saco de polietileno azulada e translúcida é amarrado firmemente ao pedúnculo para criar um microclima estável, protegendo os frutos desde a fase inicial contra pragas, danos físicos e intempéries, estabelecendo a base para um desenvolvimento acelerado e a obtenção de uma produção final de alta qualidade e uniformidade."
img_57,14,Parcialmente correta,"Intervenção cultural precoce na bananicultura, focando no ensacamento de um cacho ainda em estágio imaturo e de coloração arroxeada, onde um saco de polietileno azulada e translúcida é amarrado firmemente ao pedúnculo para criar um microclima estável, protegendo os frutos desde a fase inicial contra pragas, danos físicos e intempéries, estabelecendo a base para um desenvolvimento acelerado e a obtenção de uma produção final de alta qualidade e uniformidade."
img_58,15,Descrição superficial,"Detalhe um ""ensacador"", um equipamento ergonômico e tecnicamente projetado para a bananicultura, consistindo em dois arcos metálicos leves e alongados, articulados em uma das extremidades para operar como uma pinça de longo alcance; em suas pontas, ilhoses fixam a boca de um saco plástico protetor, cujo manuseio é controlado por um cordão que permite ao operador abrir e posicionar o invólucro sobre o cacho de banana com precisão e eficiência, otimizando a mão de obra na prática do ensacamento para garantir proteção fitossanitária e uniformidade na maturação dos frutos."
img_69,16,"Descrição totalmente incorreta, colocando como secagem","Sistema de cabo aéreo, uma infraestrutura logística fundamental na bananicultura moderna, consistindo em um robusto cabo de aço suspenso que atua como um monotrilho no qual cachos de banana recém-colhidos, já ensacados para proteção, são transportados por meio de ganchos deslizantes desde a área de colheita até o galpão de beneficiamento, representando uma solução tecnológica que otimiza a mão de obra, reduz drasticamente os danos mecânicos aos frutos e garante a máxima eficiência e qualidade na cadeia produtiva."
img_70,17,Descrição parcialmente correta,"Processo de despencamento em uma casa de embalagem de bananas, onde um operário, posicionado sobre o piso úmido, executa a separação manual das pencas de um grande cacho de bananas verdes do engaço, deixando-as cair diretamente em um tanque de alvenaria com água para a pré-lavagem, uma etapa fundamental para remover o látex e detritos do campo antes do processamento subsequente, em um ambiente industrial dinâmico e movimentado."
img_72,18,Descrição incorreta e equivocada.,"Distanciador para cabo aéreo, um componente de engenharia fundamental no sistema de transporte de bananas, que consiste em uma barra metálica rígida e linear interligando dois conjuntos de roldanas ou carrinhos adjacentes no monotrilho, com a função técnica de manter um espaçamento pré-determinado e invariável entre os cachos de banana suspensos, prevenindo assim colisões, danos mecânicos por atrito e oscilação excessiva durante o seu deslocamento contínuo."
img_74,19,Descrição incorreta e equivocada.,"Prática da ""Poda do Coração"" na cultura da banana, especificamente a etapa de ""quebra do coração"", onde as mãos de um agricultor, seguram firmemente o ""coração"" ou flor masculina da bananeira – uma estrutura cônica, alongada, de cor roxo-avermelhada intensa – posicionada logo abaixo de um cacho de bananas verdes e imaturas em desenvolvimento, com a ação de agarrar e possivelmente torcer ou puxar o coração indicando o momento da sua remoção manual do engaço, uma técnica agrícola crucial realizada após a formação das últimas pencas de frutos desejadas, visando direcionar a seiva e os nutrientes da planta exclusivamente para o enchimento e maturação das bananas, otimizando assim o tamanho e a qualidade do cacho, tudo isso em um cenário de plantação com folhas de bananeira verdes e exuberantes ao fundo."
img_75,20,Boa descrição,"Centro de armazenamento onde centenas de caixas de madeira novas, de construção ripada, padronizada e em tom claro, estão meticulosamente empilhadas em imponentes paredes que ocupam um galpão de beneficiamento, cada unidade já contendo pencas de bananas verdes acondicionadas sob uma cobertura plástica e identificadas com rótulos, configurando a etapa de embalagem pós-colheita essencial para a proteção, distribuição e maturação controlada do produto."
img_76,21,Descrição incorreta e equivocada.,"Despistilagem manual em uma casa de embalagem, onde uma operadora, equipada com vestimentas de trabalho e segurança, executa a remoção meticulosa dos pistilos (resquícios florais) das extremidades de bananas verdes contidas em um cacho maciço, o qual está suspenso por um sistema de transporte aéreo com trilhos metálicos, sendo esta uma operação fitotécnica essencial para assegurar a qualidade visual, a sanidade e a conservação pós-colheita do fruto."
img_77,22,Descrição incorreta e equivocada.,"Condição de ""excesso de frutas na caixa"" em uma operação de embalagem industrial, onde robustas caixas de madeira são deliberadamente sobrecarregadas com cachos de bananas verdes, resultando em um volume que ultrapassa as bordas do engradado, sendo este monte proeminente meticulosamente coberto por uma folha plástica translúcida que se amolda à fruta para protegê-la e auxiliar no controle do ambiente durante as fases de pré-resfriamento e logística."
img_80,23,Descrição incorreta e equivocada.,"Acondicionamento organizado de cachos de banana em uma casa de embalagem, onde múltiplos cachos de bananas verdes, em estado fisiológico pré-climatérico, são estrategicamente suspensos por seus pedúnculos em um sistema de transporte aéreo do tipo monotrilho, uma operação logística crucial que otimiza o espaço, facilita a movimentação contínua ao longo da linha de processamento e previne danos mecânicos aos frutos, garantindo a manutenção da sua qualidade para as etapas subsequentes."
img_81,24,"Parcialmente correta, superficial","Processo de beneficiamento em uma casa de embalagem de bananas, um ambiente semi-industrial onde trabalhadores realizam a desgomagem e lavagem de pencas de bananas verdes em tanques, seguida da cuidadosa acomodação das frutas selecionadas em caixas de madeira com forro plástico, que são então dispostas em uma linha de produção contínua sobre uma estrutura metálica, ilustrando uma etapa da cadeia de valor para garantir a qualidade pós-colheita do produto."
img_83,25,"Descrição técnica superficial, mas correta.","Prática cultural do ensacamento do cacho de banana, onde um cacho em plena fase de desenvolvimento é meticulosamente envolvido por um saco de polietileno translúcido e perfurado de tonalidade azulada, uma técnica que cria um microclima para proteger os frutos contra pragas, doenças e danos abióticos, com o invólucro firmemente amarrado à porção superior do pedúnculo, pendendo de um pseudocaule vigoroso que é adicionalmente sustentado por um cabo de escoramento para prevenir o tombamento, evidenciando um manejo agronômico focado na maximização da qualidade e do padrão comercial do fruto ainda em campo."
img_84,26,"Descrição técnica superficial, mas correta.","Transporte correto dos cachos de banana, na qual um trabalhador rural posiciona cuidadosamente um cacho verde e ensacado sobre a plataforma de um reboque agrícola, previamente forrada com lona de amortecimento, onde outros cachos já estão dispostos horizontalmente de forma organizada, uma prática de manejo pós-colheita essencial para minimizar danos mecânicos e abrasões, garantindo a integridade e o padrão de qualidade do fruto para as fases subsequentes de processamento e comercialização."
img_85,27,Descrição incorreta e equivocada.,"Interior de uma Casa de Embalagem de Bananas em plena operação, exibindo múltiplas fileiras de engradados plásticos com bananas verdes padronizadas, onde operários realizam o beneficiamento em tanques de lavagem para remoção do látex, em um amplo galpão industrial com estrutura metálica, piso de concreto e sistema de transporte aéreo, evidenciando um processo de pós-colheita organizado e em larga escala, essencial para garantir a integridade e a qualidade do fruto para a cadeia de comercialização."
img_86,28,Descrição incorreta e equivocada.,"Procedimento técnico da despistilagem, no qual uma mão enluvada com tecido trançado e pontos de aderência remove com precisão os resquícios florais escuros e ressecados (perianto e estigma persistentes) da ponta distal de um fruto de banana ainda verde, uma operação manual para prevenir a infecção por patógenos como o Colletotrichum musae e para garantir a qualidade estética e o desenvolvimento uniforme do cacho."
img_88,29,Correta,"Método correto de transporte de cachos de banana do campo para a casa de embalagem, utilizando um trator agrícola (LS U60 azul) que traciona um reboque de dois eixos carregado com os cachos meticulosamente acondicionados em sacos plásticos de proteção (geralmente polietileno de cor verde ou azul), uma prática agronômica essencial que protege os frutos contra danos mecânicos (abrasão e amassamento), queimaduras solares, poeira e pragas, assegurando a integridade física e a qualidade visual da fruta e minimizando as perdas pós-colheita."
img_91,30,Descrição incorreta e equivocada.,"Etapas sequenciais e colaborativas da colheita de cachos de banana já ensacados, um procedimento rigoroso que se inicia com o corte do caule (pseudocaule) sustentado por um ""calço"" ou vara de apoio, seguido pela recepção amortecida do cacho sobre o ombro acolchoado de um segundo operário para o transporte manual e culminando no engate cuidadoso do cacho em um sistema de transporte aéreo por cabos (cabo-via), tudo executado em dupla para eliminar danos mecânicos como impactos, quedas e abrasões, garantindo a máxima integridade e qualidade pós-colheita dos frutos."
img_93,31,Descrição incorreta e equivocada.,"Galpão industrial onde centenas de caixas plásticas de polipropileno, predominantemente verdes, são utilizadas para o armazenamento e transporte de pencas de banana destinadas ao consumidor final, apresentando um design técnico com estrutura vazada e múltiplas perfurações estrategicamente projetadas para otimizar a ventilação interna, controlar a temperatura, dissipar o gás etileno (fitorregulador de amadurecimento) e, consequentemente, preservar a integridade física, a qualidade e prolongar a vida útil da fruta durante a logística pós-colheita, estando as mesmas organizadas em pilhas elevadas sobre paletes de madeira para otimizar o espaço e facilitar o manuseio mecanizado."
